City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,URL
Bethel,US,41.37,-73.41,26.4,35,1,18.34,"http://api.openweathermap.org/data/2.5/weather?q=bethel,us&units=imperial&appid=InsertKey"
Cape Town,ZA,-33.93,18.42,59.0,93,75,4.7,"http://api.openweathermap.org/data/2.5/weather?q=cape town,za&units=imperial&appid=InsertKey"
Hamilton,BM,32.29,-64.78,68.0,64,75,27.51,"http://api.openweathermap.org/data/2.5/weather?q=hamilton,bm&units=imperial&appid=InsertKey"
Touros,BR,-5.2,-35.46,81.04,79,44,11.88,"http://api.openweathermap.org/data/2.5/weather?q=touros,br&units=imperial&appid=InsertKey"
Tateyama,JP,34.98,139.87,40.91,41,20,17.22,"http://api.openweathermap.org/data/2.5/weather?q=tateyama,jp&units=imperial&appid=InsertKey"
San Patricio,MX,19.22,-104.7,84.2,66,75,6.93,"http://api.openweathermap.org/data/2.5/weather?q=san patricio,mx&units=imperial&appid=InsertKey"
Saldanha,ZA,-33.01,17.94,60.8,82,80,3.36,"http://api.openweathermap.org/data/2.5/weather?q=saldanha,za&units=imperial&appid=InsertKey"
Champerico,GT,14.3,-91.92,86.0,55,40,13.87,"http://api.openweathermap.org/data/2.5/weather?q=champerico,gt&units=imperial&appid=InsertKey"
Lebu,CL,-37.62,-73.65,57.69,95,0,10.42,"http://api.openweathermap.org/data/2.5/weather?q=lebu,cl&units=imperial&appid=InsertKey"
Takoradi,GH,4.88,-1.76,80.23,100,0,4.72,"http://api.openweathermap.org/data/2.5/weather?q=takoradi,gh&units=imperial&appid=InsertKey"
Ushuaia,AR,-54.8,-68.3,60.8,38,40,11.41,"http://api.openweathermap.org/data/2.5/weather?q=ushuaia,ar&units=imperial&appid=InsertKey"
Kalmunai,LK,7.42,81.82,70.11,99,0,2.82,"http://api.openweathermap.org/data/2.5/weather?q=kalmunai,lk&units=imperial&appid=InsertKey"
Marfino,RU,55.7,37.38,33.8,91,44,4.47,"http://api.openweathermap.org/data/2.5/weather?q=marfino,ru&units=imperial&appid=InsertKey"
Albany,AU,-35.02,117.89,60.66,87,88,4.94,"http://api.openweathermap.org/data/2.5/weather?q=albany,au&units=imperial&appid=InsertKey"
Marsa Matruh,EG,31.35,27.25,59.0,77,20,9.17,"http://api.openweathermap.org/data/2.5/weather?q=marsa matruh,eg&units=imperial&appid=InsertKey"
Nuuk,GL,64.18,-51.72,21.2,79,75,2.24,"http://api.openweathermap.org/data/2.5/weather?q=nuuk,gl&units=imperial&appid=InsertKey"
Georgetown,SH,-7.93,-14.42,73.4,94,75,14.99,"http://api.openweathermap.org/data/2.5/weather?q=georgetown,sh&units=imperial&appid=InsertKey"
Sorong,ID,-0.88,131.25,80.59,100,32,8.19,"http://api.openweathermap.org/data/2.5/weather?q=sorong,id&units=imperial&appid=InsertKey"
Pevek,RU,69.7,170.31,16.42,87,88,23.4,"http://api.openweathermap.org/data/2.5/weather?q=pevek,ru&units=imperial&appid=InsertKey"
Port Hardy,CA,50.7,-127.42,44.6,87,75,2.24,"http://api.openweathermap.org/data/2.5/weather?q=port hardy,ca&units=imperial&appid=InsertKey"
Batagay,RU,67.63,134.63,-59.54,0,20,2.71,"http://api.openweathermap.org/data/2.5/weather?q=batagay,ru&units=imperial&appid=InsertKey"
Sibolga,ID,1.74,98.78,68.04,100,80,1.7,"http://api.openweathermap.org/data/2.5/weather?q=sibolga,id&units=imperial&appid=InsertKey"
Mar del Plata,AR,-38.0,-57.56,69.8,73,75,6.93,"http://api.openweathermap.org/data/2.5/weather?q=mar del plata,ar&units=imperial&appid=InsertKey"
Bambanglipuro,ID,-7.95,110.28,70.47,100,92,2.59,"http://api.openweathermap.org/data/2.5/weather?q=bambanglipuro,id&units=imperial&appid=InsertKey"
New Norfolk,AU,-42.78,147.06,71.6,56,40,5.82,"http://api.openweathermap.org/data/2.5/weather?q=new norfolk,au&units=imperial&appid=InsertKey"
Carutapera,BR,-1.2,-46.02,82.66,77,68,8.86,"http://api.openweathermap.org/data/2.5/weather?q=carutapera,br&units=imperial&appid=InsertKey"
Puerto Ayora,EC,-0.74,-90.35,77.0,61,20,19.46,"http://api.openweathermap.org/data/2.5/weather?q=puerto ayora,ec&units=imperial&appid=InsertKey"
